,youtuber,firstName,itemInSession,lastName,length,sessionId,video,userId
0,,Walter,0,Frye,,38,,39.0
1,,Kaylee,0,Summers,,139,,8.0
2,Des'ree,Kaylee,1,Summers,246.30812000000003,139,You Gotta Be,8.0
3,,Kaylee,2,Summers,,139,,8.0
4,Mr Oizo,Kaylee,3,Summers,144.03873000000002,139,Flat 55,8.0
5,Tamba Trio,Kaylee,4,Summers,177.18812,139,Quem Quiser Encontrar O Amor,8.0
6,The Mars Volta,Kaylee,5,Summers,380.42077,139,Eriatarka,8.0
7,Infected Mushroom,Kaylee,6,Summers,440.2673,139,Becoming Insane,8.0
8,Blue October / Imogen Heap,Kaylee,7,Summers,241.3971,139,Congratulations,8.0
9,Girl Talk,Kaylee,8,Summers,160.15628,139,Once again,8.0
10,Black Eyed Peas,Sylvie,0,Cruz,214.93506000000002,9,Pump It,10.0
11,,Ryan,0,Smith,,169,,26.0
12,Fall Out Boy,Ryan,1,Smith,200.72444,169,Nobody Puts Baby In The Corner,26.0
13,M.I.A.,Ryan,2,Smith,233.7171,169,Mango Pickle Down River (With The Wilcannia Mob),26.0
14,Survivor,Jayden,0,Fox,245.36771000000002,100,Eye Of The Tiger,101.0
15,N.E.R.D. FEATURING MALICE,Jayden,0,Fox,288.9922,184,Am I High (Feat. Malice),101.0
16,,Stefany,0,White,,82,,83.0
17,Death Cab for Cutie,Stefany,1,White,216.42404,82,A Lack Of Color (Album Version),83.0
18,Tracy Gang Pussy,Stefany,2,White,221.33506,82,I Have A Wish,83.0
19,Skillet,Kevin,0,Arellano,178.02403999999999,153,Monster (Album Version),66.0
20,Dance Gavin Dance,Marina,0,Sutton,218.46159,47,Uneasy Hearts Weigh The Most,48.0
21,,Aiden,0,Hess,,170,,86.0
22,Dalto,Aiden,1,Hess,190.40608,170,Falta Te Dizer,86.0
23,Kanye West,Makinley,0,Jones,278.88281,118,Family Business,17.0
24,Jason Mraz & Colbie Caillat,Kevin,0,Arellano,189.6224,187,Lucky (Album Version),66.0
25,Liz Callaway,Lily,0,Koch,175.43791000000002,172,Journey To The Past  (LP Version),15.0
26,The Decemberists,Lily,1,Koch,242.59873,172,Everything I Try to Do_ Nothing Seems to Turn Out Right,15.0
27,,Kynnedi,0,Sanchez,,88,,89.0
28,Christina Aguilera,Lily,2,Koch,254.48443999999998,172,Impossible,15.0
29,OneRepublic,Lily,3,Koch,224.67872999999997,172,Secrets,15.0
30,Cat Stevens,Kynnedi,1,Sanchez,200.202,88,Wild World,89.0
31,Brett Dennen,Lily,4,Koch,179.66975,172,World Keeps Turning,15.0
32,Godsmack,Lily,5,Koch,208.24771,172,Greed,15.0
33,Anis,Lily,6,Koch,246.59546,172,Swing Javanaise,15.0
34,Tiziano Ferro,Lily,7,Koch,251.42812,172,Ed Ero Contentissimo,15.0
35,Kylie Auldist,Lily,8,Koch,265.92607999999996,172,Ship Inside A Bottle,15.0
36,Benga,Lily,9,Koch,286.17098,172,The Cut,15.0
37,T. Rex,Lily,10,Koch,132.85832,172,Ride A White Swan,15.0
38,Mexican Institute of Sound,Lily,11,Koch,278.04689,172,Mirando a Las Muchachas,15.0
39,Velour 100,Lily,12,Koch,202.29179,172,Clouds (Of Color Bright Album Version),15.0
40,Maria de Barros,Lily,13,Koch,276.29669,172,Riberonzinha,15.0
41,Toby Keith,Lily,14,Koch,177.162,172,Big Blue Note,15.0
42,Marques Houston,Lily,15,Koch,264.98567,172,Naked,15.0
43,Commit Suicide,Lily,16,Koch,105.48200000000001,172,In All This Revelation,15.0
44,Smile Empty Soul,Lily,17,Koch,218.61832,172,Bottom of a Bottle (Explicit Album Version),15.0
45,Amy Winehouse,Lily,18,Koch,221.1522,172,Wake Up Alone,15.0
46,Eyehategod,Lily,19,Koch,155.66322,172,Sisterfucker (part Ii),15.0
47,Sunidhi Chauhan / Anu Malik / Jatin Sharma,Lily,20,Koch,319.32036,172,Dekh Le,15.0
48,Blondie,Lily,21,Koch,127.73832,172,Little Girl Lies (2001 Digital Remaster),15.0
49,,Lily,22,Koch,,172,,15.0
50,She & Him,Lily,23,Koch,167.83628000000002,172,Got Me,15.0
51,The Black Keys,Lily,24,Koch,294.76526,172,The Lengths,15.0
52,Survivor,Lily,25,Koch,245.36771000000002,172,Eye Of The Tiger,15.0
53,Conya Doss,Lily,26,Koch,317.98812000000004,172,I Miss You,15.0
54,,Lily,27,Koch,,172,,15.0
55,Disney Studio Chorus,Lily,28,Koch,234.84036,172,Little April Shower,15.0
56,Dirty Projectors,Lily,29,Koch,319.63383,172,Stillness Is The Move,15.0
57,Boom Bip,Lily,30,Koch,330.16118,172,From Left To Right,15.0
58,Avantasia,Lily,31,Koch,368.97914,172,Shelter From The Rain,15.0
59,Amon Amarth,Lily,32,Koch,312.29342,172,North Sea Storm (Live),15.0
60,Young Money featuring Lloyd,Lily,33,Koch,196.33587,172,BedRock (Radio Edit) (feat.Lloyd),15.0
61,Breakbeat Era,Lily,34,Koch,326.32117999999997,172,Anti-Everything,15.0
62,Local Natives,Lily,35,Koch,237.92281,172,Airplanes,15.0
63,Gabriella Cilmi,Lily,36,Koch,207.38567,172,Awkward Game,15.0
64,,Tegan,0,Levine,,165,,80.0
65,Minus The Bear,Tegan,1,Levine,219.76771000000002,165,Knights,80.0
66,Calle 13 Featuring CafÃÂ© Tacuba,Lily,37,Koch,293.32853,172,No Hay Nadie Como TÃÂº,15.0
67,Frumpies,Aleena,0,Kirby,134.47791,157,Fuck Kitty,44.0
68,D-12,Aleena,1,Kirby,261.40689,157,Barbershop,44.0
69,Emil Gilels/Orchestre de la SociÃÂ©tÃÂ© des Concerts du Conservatoire/AndrÃÂ© Cluytens,Tegan,2,Levine,375.19628,165,Piano Concerto No. 2 in G minor Op. 22 (2006 Digital Remaster): III.  Presto,80.0
70,Dragonette,Lily,38,Koch,246.49097999999998,172,Fixin to Thrill,15.0
71,Pennywise,Mohammad,0,Rodriguez,188.26404,87,The Western World,88.0
72,Kanye West,Aleena,2,Kirby,238.52362999999997,157,Flashing Lights,44.0
73,Flash And The Pan,Lily,39,Koch,224.65261,172,Waiting for a Train [Single Mix],15.0
74,Washed Out,Tegan,3,Levine,168.6722,165,New Theory,80.0
75,Katy Perry,Aleena,3,Kirby,179.40853,157,I Kissed A Girl,44.0
76,AFI,Lily,40,Koch,198.97423999999998,172,Miss Murder,15.0
77,Drake / Kanye West / Lil Wayne / Eminem,Aleena,4,Kirby,357.66812000000004,157,Forever,44.0
78,The Crests,Lily,41,Koch,182.88281,172,16 Candles,15.0
79,Nirvana,Lily,42,Koch,219.08853,172,Come As You Are,15.0
80,Knights Of The Abyss,Aleena,5,Kirby,205.66159,157,Dragon Pie,44.0
81,Binary Star,Lily,43,Koch,300.19872999999995,172,Honest Expression,15.0
82,Nada Surf,Aleena,6,Kirby,181.08036,157,Whose Authority,44.0
83,Blank & Jones,Aleena,7,Kirby,310.15137999999996,157,Beyond Time (Ambient Mix),44.0
84,Carnifex,Lily,44,Koch,219.89832,172,By Darkness Enslaved,15.0
85,Bono / Secret Machines,Lily,45,Koch,285.43955,172,I Am The Walrus,15.0
86,Broadcast 2000,Aleena,8,Kirby,198.84363000000002,157,The View,44.0
87,Pixies,Aleena,9,Kirby,229.3024,157,Where Is My Mind?,44.0
88,Kings Of Leon,Lily,46,Koch,242.99057000000002,172,Holy Roller Novocaine,15.0
89,Arctic Monkeys,Aleena,10,Kirby,221.85751000000002,157,You Know I'm No Good,44.0
90,Alliance Ethnik,Lily,47,Koch,252.21178999999998,172,ReprÃÂ©sente,15.0
91,Apocalyptica,Chloe,0,Cuevas,409.86077,179,Coma,49.0
92,Big Tymers,Aleena,11,Kirby,256.15628,157,Lil Mama,44.0
93,Pat Green,Lily,48,Koch,295.33995,172,Whiskey,15.0
